id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,tfidf_demand,tfidf_offer,neg_words,pos_words,n_known_medicines,cluster
21469.0,126.0,29.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,0.0,2.0
21471.0,142.0,8.0,0.0,7.0,0.0,2.0,2.0,0.15898411242015342,0.176755893041474,1.0,1.0,0.0,2.0
21484.0,143.0,9.0,0.0,2.0,0.0,2.0,1.0,0.15609587607980152,0.08484282865990753,9.0,3.0,0.0,2.0
21497.0,115.0,8.0,0.0,3.0,0.0,3.0,1.0,0.2365052467629693,0.08484282865990753,5.0,1.0,0.0,2.0
21505.0,142.0,16.0,0.0,1.0,0.0,1.0,0.0,0.07830583338642202,0.0,4.0,2.0,3.0,2.0
21509.0,142.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.08553598902477605,1.0,0.0,0.0,2.0
21513.0,74.0,5.0,0.0,2.0,0.0,1.0,0.0,0.07786342754808066,0.0,2.0,2.0,0.0,2.0
21523.0,144.0,16.0,0.0,2.0,0.0,4.0,0.0,0.3152365839366499,0.0,4.0,2.0,1.0,2.0
21531.0,94.0,17.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,0.0,2.0
21536.0,84.0,9.0,0.0,2.0,0.0,3.0,0.0,0.25857145066606424,0.0,3.0,2.0,0.0,2.0
21565.0,109.0,13.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,0.0,0.0,2.0
21598.0,142.0,11.0,0.0,7.0,0.0,2.0,1.0,0.15939681096488215,0.08484282865990753,2.0,0.0,1.0,2.0
21605.0,142.0,4.0,0.0,7.0,0.0,2.0,0.0,0.15871520406958978,0.0,3.0,0.0,0.0,2.0
21617.0,141.0,30.0,0.0,2.0,0.0,3.0,1.0,0.2365052467629693,0.08484282865990753,5.0,1.0,0.0,2.0
21625.0,133.0,26.0,0.0,2.0,0.0,1.0,0.0,0.10029865243481578,0.0,1.0,1.0,4.0,2.0
21635.0,72.0,4.0,0.0,2.0,0.0,1.0,0.0,0.08040937068316777,0.0,2.0,0.0,1.0,2.0
21641.0,95.0,8.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,1.0,2.0
21646.0,106.0,14.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,0.0,0.0,2.0
21655.0,120.0,39.0,0.0,3.0,1.0,1.0,0.0,0.08040937068316777,0.0,6.0,0.0,0.0,2.0
21658.0,111.0,7.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,0.0,2.0
21669.0,131.0,26.0,0.0,2.0,0.0,6.0,2.0,0.4720140669117438,0.16968565731981505,5.0,2.0,1.0,2.0
21680.0,116.0,7.0,0.0,2.0,0.0,1.0,0.0,0.07865795231897946,0.0,6.0,0.0,1.0,2.0
21700.0,97.0,3.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,0.0,2.0
21704.0,142.0,17.0,0.0,5.0,0.0,3.0,0.0,0.26111739380115134,0.0,4.0,0.0,1.0,2.0
21710.0,125.0,10.0,0.0,2.0,0.0,2.0,0.0,0.17816207998289646,0.0,3.0,1.0,1.0,2.0
21718.0,144.0,14.0,0.0,4.0,0.0,4.0,0.0,0.31905139333777427,0.0,6.0,1.0,1.0,2.0
21726.0,110.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21728.0,112.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21731.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,3.0,0.0,2.0
21732.0,110.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21734.0,118.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,2.0,0.0,2.0
21736.0,109.0,9.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21737.0,112.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21738.0,114.0,6.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21740.0,116.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21743.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21745.0,108.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21746.0,110.0,28.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,1.0,0.0,2.0
21747.0,113.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21751.0,113.0,6.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21752.0,114.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21753.0,111.0,9.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21757.0,131.0,27.0,0.0,2.0,0.0,3.0,1.0,0.23538553182225574,0.08484282865990753,2.0,2.0,2.0,2.0
21758.0,110.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,1.0,1.0,2.0
21759.0,115.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21761.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,1.0,0.0,2.0
