id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,neg_words,pos_words,n_known_medicines,cluster
8647.0,92.0,19.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
2245.0,87.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
2120.0,142.0,15.0,1.0,5.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0
16037.0,124.0,10.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0
24327.0,66.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,2.0
2198.0,143.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0
4735.0,130.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,1.0,0.0,2.0
5625.0,142.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0
6508.0,143.0,6.0,1.0,5.0,0.0,3.0,0.0,4.0,2.0,1.0,2.0
21939.0,109.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
17846.0,145.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0
7207.0,122.0,5.0,0.0,2.0,0.0,3.0,1.0,4.0,3.0,0.0,2.0
15787.0,146.0,9.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0
15412.0,146.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
3857.0,142.0,2.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0
17201.0,143.0,44.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0
1801.0,132.0,7.0,0.0,2.0,0.0,4.0,0.0,4.0,3.0,0.0,2.0
22534.0,117.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0
2270.0,142.0,15.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0
21913.0,115.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
17755.0,143.0,5.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0
4582.0,140.0,4.0,0.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0
6341.0,140.0,6.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0
23810.0,141.0,50.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0
8379.0,103.0,14.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0
22292.0,142.0,8.0,1.0,6.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0
6853.0,117.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
2974.0,147.0,131.0,4.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0
6501.0,136.0,2.0,3.0,3.0,0.0,3.0,1.0,5.0,1.0,1.0,2.0
2187.0,137.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0
5864.0,136.0,10.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0
18426.0,126.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
5932.0,143.0,192.0,0.0,1.0,1.0,4.0,0.0,7.0,2.0,0.0,2.0
17233.0,105.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0
22524.0,142.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
18912.0,144.0,395.0,3.0,1.0,0.0,2.0,0.0,6.0,3.0,0.0,2.0
15556.0,129.0,8.0,0.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,2.0
16508.0,145.0,31.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0
21844.0,139.0,26.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0
21617.0,141.0,30.0,0.0,2.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0
4140.0,143.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
23719.0,138.0,24.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0
2163.0,143.0,14.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0
18961.0,142.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
1878.0,137.0,6.0,0.0,2.0,0.0,3.0,0.0,10.0,3.0,1.0,2.0
21753.0,111.0,9.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
17636.0,140.0,11.0,0.0,3.0,0.0,3.0,0.0,6.0,2.0,1.0,2.0
1468.0,134.0,6.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0
6245.0,119.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0
14855.0,149.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
19275.0,104.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
10197.0,146.0,55.0,1.0,2.0,0.0,3.0,2.0,8.0,1.0,0.0,2.0
21743.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
303.0,173.0,405.0,1.0,2.0,0.0,1.0,0.0,5.0,1.0,2.0,2.0
19584.0,131.0,4.0,0.0,2.0,0.0,1.0,0.0,5.0,3.0,1.0,2.0
20181.0,142.0,6.0,5.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0
19470.0,142.0,7.0,0.0,2.0,0.0,5.0,1.0,7.0,3.0,0.0,2.0
17191.0,139.0,21.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0
6380.0,92.0,5.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0
19729.0,81.0,4.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0
1774.0,143.0,5.0,0.0,2.0,0.0,3.0,0.0,6.0,2.0,0.0,2.0
21831.0,112.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
16167.0,137.0,20.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0
2742.0,142.0,31.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0
15644.0,146.0,7.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,0.0,2.0
23879.0,153.0,63.0,2.0,1.0,1.0,2.0,0.0,7.0,3.0,0.0,2.0
2125.0,111.0,12.0,2.0,2.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0
7827.0,149.0,98.0,0.0,3.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0
20324.0,142.0,4.0,5.0,2.0,0.0,3.0,0.0,8.0,2.0,0.0,2.0
19444.0,142.0,4.0,2.0,1.0,0.0,4.0,0.0,5.0,3.0,0.0,2.0
21866.0,111.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
16599.0,142.0,12.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0
3134.0,143.0,108.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0
6408.0,144.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0
6781.0,150.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
1875.0,107.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
21855.0,112.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
17365.0,124.0,3.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
15718.0,149.0,41.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0
15493.0,87.0,5.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0
19033.0,97.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
15578.0,146.0,9.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
15568.0,107.0,36.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0
6673.0,139.0,7.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
1555.0,142.0,9.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0
6143.0,143.0,7.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0
3992.0,143.0,174.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,2.0
15945.0,108.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0
1770.0,95.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
17647.0,143.0,13.0,0.0,4.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0
15581.0,86.0,4.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0
1971.0,146.0,16.0,1.0,2.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0
15693.0,123.0,7.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,1.0,2.0
21777.0,109.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,2.0
5667.0,140.0,14.0,0.0,2.0,0.0,2.0,0.0,6.0,4.0,1.0,2.0
21910.0,109.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
3963.0,143.0,27.0,1.0,2.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0
6459.0,100.0,10.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0
19558.0,125.0,4.0,0.0,1.0,0.0,5.0,0.0,3.0,3.0,0.0,2.0
17444.0,142.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,3.0,2.0
6264.0,142.0,11.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0
3926.0,130.0,10.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0
32.0,142.0,11.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0
6514.0,144.0,7.0,1.0,3.0,0.0,1.0,0.0,6.0,4.0,1.0,2.0
19715.0,143.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0
20326.0,142.0,5.0,3.0,2.0,0.0,1.0,0.0,7.0,2.0,1.0,2.0
9037.0,81.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
15713.0,151.0,37.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0
7394.0,143.0,9.0,1.0,2.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
5619.0,139.0,22.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0
3060.0,135.0,14.0,2.0,2.0,0.0,6.0,0.0,5.0,1.0,0.0,2.0
21870.0,109.0,4.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,2.0
17301.0,142.0,1.0,0.0,2.0,0.0,3.0,0.0,5.0,3.0,0.0,2.0
6507.0,143.0,3.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0
15525.0,116.0,20.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
1560.0,142.0,5.0,0.0,2.0,0.0,3.0,0.0,8.0,3.0,0.0,2.0
16469.0,142.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
7559.0,126.0,10.0,0.0,2.0,0.0,4.0,0.0,5.0,3.0,1.0,2.0
5813.0,139.0,118.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0
7374.0,143.0,12.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0
1096.0,145.0,320.0,0.0,1.0,0.0,4.0,0.0,4.0,3.0,2.0,2.0
19407.0,142.0,31.0,3.0,1.0,1.0,3.0,0.0,6.0,1.0,0.0,2.0
8072.0,137.0,36.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2901.0,148.0,371.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,1.0,2.0
1493.0,142.0,4.0,0.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,2.0
2098.0,136.0,25.0,1.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,2.0
15590.0,154.0,10.0,0.0,2.0,0.0,4.0,0.0,3.0,2.0,0.0,2.0
7004.0,100.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0
20213.0,96.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0
7169.0,127.0,15.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0
2180.0,129.0,10.0,0.0,2.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0
2265.0,127.0,5.0,0.0,1.0,0.0,3.0,0.0,6.0,3.0,0.0,2.0
24346.0,122.0,6.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,2.0
7989.0,143.0,21.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,2.0,2.0
1713.0,124.0,6.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0
16110.0,147.0,12.0,1.0,3.0,0.0,2.0,0.0,8.0,1.0,0.0,2.0
24057.0,87.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0
184.0,171.0,98.0,3.0,1.0,0.0,2.0,1.0,4.0,2.0,0.0,2.0
9574.0,63.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0
5723.0,137.0,79.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0
6763.0,140.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
4667.0,138.0,6.0,0.0,1.0,0.0,4.0,1.0,5.0,3.0,0.0,2.0
3394.0,143.0,1657.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0
1533.0,135.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0
15569.0,146.0,5.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0
6439.0,143.0,5.0,0.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
19775.0,97.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0
15427.0,147.0,39.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
21967.0,142.0,4.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
16353.0,142.0,17.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0
8622.0,67.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
7828.0,146.0,10.0,4.0,5.0,0.0,2.0,0.0,6.0,1.0,2.0,2.0
18818.0,142.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0
6240.0,138.0,2.0,2.0,3.0,0.0,2.0,0.0,6.0,3.0,1.0,2.0
7703.0,154.0,12.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,0.0,2.0
18425.0,123.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
18035.0,64.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
9596.0,179.0,173.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0
2437.0,142.0,8.0,0.0,2.0,0.0,3.0,0.0,6.0,2.0,0.0,2.0
1733.0,143.0,6.0,0.0,2.0,0.0,3.0,0.0,5.0,2.0,0.0,2.0
17321.0,143.0,2.0,0.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0
15798.0,148.0,4.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0
19680.0,142.0,5.0,1.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,2.0
7460.0,140.0,23.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0
16268.0,142.0,5.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0
5844.0,145.0,12.0,0.0,2.0,0.0,3.0,0.0,5.0,3.0,0.0,2.0
6871.0,117.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0
6344.0,145.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,2.0,2.0,2.0
16046.0,149.0,4.0,1.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,2.0
1545.0,144.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,3.0,1.0,2.0
10318.0,146.0,7.0,1.0,2.0,0.0,2.0,2.0,7.0,3.0,1.0,2.0
17351.0,143.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0
5623.0,143.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0
21863.0,109.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
1618.0,60.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
1823.0,142.0,7.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0
19953.0,143.0,4.0,5.0,1.0,0.0,3.0,0.0,4.0,3.0,4.0,2.0
8489.0,109.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0
16555.0,154.0,326.0,2.0,1.0,0.0,2.0,0.0,6.0,2.0,2.0,2.0
5957.0,134.0,15.0,4.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0
21920.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
19448.0,138.0,3.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0
2519.0,147.0,189.0,3.0,2.0,0.0,3.0,1.0,5.0,3.0,1.0,2.0
4083.0,142.0,40.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
7999.0,149.0,19.0,0.0,2.0,0.0,2.0,0.0,4.0,5.0,0.0,2.0
21731.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,2.0
7579.0,142.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0
17711.0,142.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0
16360.0,141.0,10.0,0.0,4.0,0.0,4.0,0.0,5.0,3.0,0.0,2.0
6204.0,139.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0
20008.0,141.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0
19451.0,142.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0
18635.0,142.0,28.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0
15532.0,117.0,78.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0
1631.0,142.0,6.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0
21509.0,142.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
20109.0,111.0,6.0,1.0,1.0,0.0,3.0,0.0,4.0,2.0,0.0,2.0
18413.0,136.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0
21858.0,112.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
18736.0,133.0,50.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0
7775.0,108.0,8.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0
6715.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10207.0,152.0,19.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0
7331.0,141.0,7.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0
2760.0,146.0,29.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
16476.0,137.0,15.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0
17562.0,121.0,14.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0
3680.0,121.0,3.0,4.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0
10561.0,135.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
206.0,146.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17280.0,109.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,4.0,1.0,1.0
16757.0,113.0,12.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0
7032.0,121.0,4.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
9964.0,137.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
16733.0,142.0,73.0,4.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
13957.0,135.0,68.0,7.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.0
9909.0,164.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0
9903.0,181.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0
9899.0,159.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
7072.0,134.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0
16973.0,142.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
5955.0,75.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22008.0,126.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
21429.0,93.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0
10040.0,148.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0
16959.0,122.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
17794.0,86.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0
16689.0,113.0,20.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0
1539.0,141.0,56.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0
14418.0,138.0,87.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0
6027.0,48.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
11286.0,126.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0
9245.0,66.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0
24630.0,52.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
18289.0,137.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0
8639.0,138.0,21.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0
14468.0,142.0,45.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0
9471.0,67.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0
8249.0,146.0,2.0,5.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0
17524.0,142.0,16.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
