id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,neg_words,pos_words,n_known_medicines,cluster
21948.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
6032.0,74.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
5322.0,133.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,5.0,0.0,2.0
2167.0,142.0,19.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0
15403.0,148.0,11.0,0.0,5.0,0.0,3.0,0.0,4.0,1.0,0.0,2.0
1542.0,101.0,4.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
21897.0,108.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0
1991.0,142.0,7.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0
18914.0,142.0,138.0,2.0,1.0,0.0,2.0,0.0,8.0,2.0,1.0,2.0
21884.0,115.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
15662.0,147.0,8.0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0
19046.0,129.0,0.0,2.0,1.0,0.0,2.0,0.0,7.0,0.0,1.0,2.0
17855.0,142.0,7.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0
16745.0,112.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0
21605.0,142.0,4.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
17475.0,83.0,7.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
19327.0,143.0,12.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0
1747.0,92.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0
18765.0,124.0,8.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0
15518.0,146.0,6.0,0.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0
18908.0,135.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0
14506.0,149.0,6.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0
3283.0,127.0,19.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0
6612.0,135.0,7.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0
19945.0,145.0,10.0,3.0,1.0,0.0,3.0,1.0,5.0,3.0,1.0,2.0
3016.0,142.0,109.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,2.0
1868.0,141.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0
1451.0,144.0,18.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0
6283.0,142.0,4.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0
15968.0,151.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
4384.0,127.0,7.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0
15979.0,89.0,11.0,0.0,2.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0
